8
Input Files/1.txt
Input Files/10.txt
Input Files/2.txt
Input Files/3.txt
Input Files/4.txt
Input Files/5.txt
Input Files/6.txt
Input Files/7.txt
0 5000
a 1 5 
aaaaa 1 5 
aaaaggghhhhh 1 5 
abalone 1 5 
abandoned 1 5 
ability 1 5 
able 1 5 
about 1 5 
above 1 5 
abruptly 1 5 
absence 1 5 
absolute 1 5 
absolutely 1 5 
abstract 1 5 
abyss 1 5 
academy 1 5 
accent 1 5 
accept 1 5 
accepted 1 5 
accident 1 5 
accidentally 1 5 
accompany 1 5 
accomplices 1 5 
accomplished 1 5 
according 1 5 
accosted 1 5 
account 1 5 
accounts 1 5 
accusation 1 5 
accuse 1 5 
ace 1 5 
acres 1 5 
across 1 5 
act 1 5 
acted 1 5 
acting 1 5 
action 1 5 
actions 1 5 
activities 1 5 
activity 1 5 
actually 1 5 
add 1 5 
added 1 5 
address 1 5 
adhd 1 5 
admirable 1 5 
admire 1 5 
admission 1 5 
admit 1 5 
admitted 1 5 
adolescent 1 5 
adolescents 1 5 
adore 1 5 
adrenaline 1 5 
adult 1 5 
advanced 1 5 
advertised 1 5 
advertisements 1 5 
advice 1 5 
advised 1 5 
affairs 1 5 
affecting 1 5 
afford 1 5 
afraid 1 5 
after 1 5 
afternoon 1 5 
afterward 1 5 
again 1 5 
against 1 5 
age 1 5 
aged 1 5 
ages 1 5 
aggressive 1 5 
ago 1 5 
agree 1 5 
agreed 1 5 
ah 1 5 
ahead 1 5 
aimlessly 1 5 
air 1 5 
airplane 1 5 
aisle 1 5 
alas 1 5 
alcohol 1 5 
alert 1 5 
alerted 1 5 
alien 1 5 
alike 1 5 
alive 1 5 
all 1 5 
alley 1 5 
alliance 1 5 
allied 1 5 
allies 1 5 
allowed 1 5 
allows 1 5 
ally 1 5 
almost 1 5 
alone 1 5 
along 1 5 
alongside 1 5 
aloud 1 5 
already 1 5 
also 1 5 
alternately 1 5 
altogether 1 5 
aluminum 1 5 
always 1 5 
am 1 5 
amazed 1 5 
amazons 1 5 
amber 1 5 
ambrosia 1 5 
ambulances 1 5 
america 1 5 
american 1 5 
americans 1 5 
amphitheater 1 5 
amtrak 1 5 
amused 1 5 
an 1 5 
anaklusmos 1 5 
analyzing 1 5 
ancient 1 5 
and 1 5 
angeles 1 5 
angels 1 5 
anger 1 5 
angles 1 5 
angrier 1 5 
angry 1 5 
animal 1 5 
animals 1 5 
ankle 1 5 
ankles 1 5 
annabeth 1 5 
annabeths 1 5 
announced 1 5 
annual 1 5 
another 1 5 
answer 1 5 
answered 1 5 
answers 1 5 
anteater 1 5 
anticipation 1 5 
anxious 1 5 
any 1 5 
anybody 1 5 
anymore 1 5 
anyone 1 5 
anything 1 5 
anyway 1 5 
anywhere 1 5 
apart 1 5 
apartment 1 5 
aphrodite 1 5 
aphrodites 1 5 
apollo 1 5 
apollos 1 5 
apologize 1 5 
apology 1 5 
apparently 1 5 
appear 1 5 
appearance 1 5 
appeared 1 5 
appears 1 5 
appetizers 1 5 
appetizing 1 5 
apple 1 5 
apples 1 5 
appraised 1 5 
appreciate 1 5 
approach 1 5 
approached 1 5 
arc 1 5 
arch 1 5 
archery 1 5 
archetypes 1 5 
architect 1 5 
architecture 1 5 
are 1 5 
area 1 5 
arena 1 5 
arent 1 5 
ares 1 5 
aress 1 5 
argue 1 5 
arguing 1 5 
argument 1 5 
argus 1 5 
arm 1 5 
armed 1 5 
armor 1 5 
armored 1 5 
armory 1 5 
arms 1 5 
army 1 5 
aroma 1 5 
around 1 5 
arrange 1 5 
arranged 1 5 
arrgh 1 5 
arrival 1 5 
arrived 1 5 
arriving 1 5 
arrow 1 5 
arrows 1 5 
arsenal 1 5 
art 1 5 
artemis 1 5 
article 1 5 
arts 1 5 
as 1 5 
ashamed 1 5 
ashes 1 5 
ashore 1 5 
aside 1 5 
ask 1 5 
asked 1 5 
asking 1 5 
asleep 1 5 
asphalt 1 5 
assigned 1 5 
assignment 1 5 
assorted 1 5 
assume 1 5 
assumed 1 5 
assuming 1 5 
at 1 5 
ate 1 5 
athena 1 5 
athenas 1 5 
athens 1 5 
athletes 1 5 
athletic 1 5 
atlantic 1 5 
atnyu 1 5 
attached 1 5 
attack 1 5 
attacked 1 5 
attacks 1 5 
attempt 1 5 
attention 1 5 
attic 1 5 
attitude 1 5 
attract 1 5 
attractions 1 5 
attractive 1 5 
attracts 1 5 
audience 1 5 
august 1 5 
aunt 1 5 
aunty 1 5 
aura 1 5 
australia 1 5 
authorities 1 5 
avenue 1 5 
average 1 5 
avoid 1 5 
avoiding 1 5 
awaits 1 5 
awake 1 5 
awakened 1 5 
away 1 5 
awesome 1 5 
awful 1 5 
awkward 1 5 
axle 1 5 
b 1 5 
babbed 1 5 
baby 1 5 
back 1 5 
backboard 1 5 
backed 1 5 
backing 1 5 
backpack 1 5 
backpacks 1 5 
backup 1 5 
backward 1 5 
bad 1 5 
badly 1 5 
bag 1 5 
bags 1 5 
baked 1 5 
balance 1 5 
balanced 1 5 
ball 1 5 
balloon 1 5 
ballpoint 1 5 
banner 1 5 
bar 1 5 
barbaric 1 5 
barbecue 1 5 
barbecued 1 5 
barbed 1 5 
bare 1 5 
bared 1 5 
barely 1 5 
baring 1 5 
bark 1 5 
barked 1 5 
barn 1 5 
barnacle 1 5 
baron 1 5 
barreling 1 5 
bars 1 5 
barter 1 5 
base 1 5 
baseball 1 5 
based 1 5 
bashful 1 5 
basic 1 5 
basically 1 5 
basics 1 5 
basket 1 5 
basketball 1 5 
bass 1 5 
bat 1 5 
bathroom 1 5 
bathtub 1 5 
bats 1 5 
battered 1 5 
battle 1 5 
battlefield 1 5 
battleground 1 5 
bazillion 1 5 
be 1 5 
beach 1 5 
bead 1 5 
beaded 1 5 
beads 1 5 
beady 1 5 
bean 1 5 
beans 1 5 
bear 1 5 
beard 1 5 
bearded 1 5 
beards 1 5 
bearing 1 5 
bears 1 5 
beat 1 5 
beaten 1 5 
beautiful 1 5 
became 1 5 
because 1 5 
become 1 5 
becomes 1 5 
bed 1 5 
bedbugs 1 5 
beds 1 5 
bedtime 1 5 
beef 1 5 
been 1 5 
beeper 1 5 
beer 1 5 
before 1 5 
beforehand 1 5 
befriended 1 5 
began 1 5 
beginners 1 5 
beginning 1 5 
beginnings 1 5 
behave 1 5 
beheading 1 5 
behind 1 5 
being 1 5 
beings 1 5 
belched 1 5 
belching 1 5 
believe 1 5 
believed 1 5 
believes 1 5 
believing 1 5 
belong 1 5 
belonged 1 5 
belongs 1 5 
below 1 5 
belt 1 5 
bench 1 5 
bend 1 5 
beneath 1 5 
benefit 1 5 
bent 1 5 
berries 1 5 
berths 1 5 
besides 1 5 
best 1 5 
bet 1 5 
betray 1 5 
betrayed 1 5 
better 1 5 
between 1 5 
bewildered 1 5 
bid 1 5 
bidding 1 5 
big 1 5 
bigger 1 5 
biggest 1 5 
bike 1 5 
biker 1 5 
bikers 1 5 
bill 1 5 
billboard 1 5 
billing 1 5 
billowing 1 5 
biology 1 5 
birds 1 5 
birthday 1 5 
bit 1 5 
bite 1 5 
biter 1 5 
bits 1 5 
bitterest 1 5 
bitterness 1 5 
bizarre 1 5 
bla 1 5 
blaa 1 5 
black 1 5 
blacksmith 1 5 
blade 1 5 
blades 1 5 
blah 1 5 
blame 1 5 
blamed 1 5 
blanket 1 5 
blankets 1 5 
blared 1 5 
blast 1 5 
blasted 1 5 
blazed 1 5 
bleated 1 5 
bleating 1 5 
blew 1 5 
blimp 1 5 
blinked 1 5 
block 1 5 
blocks 1 5 
blond 1 5 
blood 1 5 
bloodline 1 5 
bloods 1 5 
bloodshot 1 5 
bloody 1 5 
bloomer 1 5 
blow 1 5 
blown 1 5 
blowtorched 1 5 
blue 1 5 
blur 1 5 
blush 1 5 
blushed 1 5 
blushing 1 5 
boar 1 5 
board 1 5 
boarded 1 5 
boarding 1 5 
boars 1 5 
bobofit 1 5 
bodies 1 5 
body 1 5 
boil 1 5 
boiling 1 5 
bold 1 5 
bolt 1 5 
bolts 1 5 
bombs 1 5 
bone 1 5 
bones 1 5 
book 1 5 
boomed 1 5 
boooom 1 5 
booooom 1 5 
booth 1 5 
border 1 5 
borders 1 5 
bored 1 5 
boring 1 5 
born 1 5 
borrowed 1 5 
boss 1 5 
bossy 1 5 
both 1 5 
bothered 1 5 
bothering 1 5 
bottle 1 5 
bottlenose 1 5 
bottles 1 5 
bottom 1 5 
bottomless 1 5 
bough 1 5 
boulders 1 5 
bounce 1 5 
bound 1 5 
boundary 1 5 
bow 1 5 
bowed 1 5 
bowing 1 5 
bowl 1 5 
bowling 1 5 
bows 1 5 
box 1 5 
boxes 1 5 
boy 1 5 
boyfriend 1 5 
boys 1 5 
braccas 1 5 
bragging 1 5 
brain 1 5 
brains 1 5 
brake 1 5 
branch 1 5 
brand 1 5 
branded 1 5 
brandished 1 5 
brass 1 5 
brat 1 5 
brats 1 5 
brave 1 5 
bravest 1 5 
brayed 1 5 
braying 1 5 
brazier 1 5 
bread 1 5 
break 1 5 
breakfast 1 5 
breaking 1 5 
breastplate 1 5 
breath 1 5 
breathe 1 5 
breathing 1 5 
breeze 1 5 
brewing 1 5 
bridges 1 5 
briefly 1 5 
bright 1 5 
brightest 1 5 
bring 1 5 
bringing 1 5 
brings 1 5 
brisket 1 5 
bristly 1 5 
broke 1 5 
broken 1 5 
broncos 1 5 
bronze 1 5 
brood 1 5 
brother 1 5 
brothers 1 5 
brought 1 5 
brow 1 5 
brown 1 5 
brownies 1 5 
bruise 1 5 
bruised 1 5 
brun 1 5 
brunner 1 5 
brush 1 5 
brushed 1 5 
brushing 1 5 
brutal 1 5 
bubble 1 5 
bubbles 1 5 
buckets 1 5 
bucking 1 5 
buddies 1 5 
buddy 1 5 
bugs 1 5 
build 1 5 
building 1 5 
buildings 1 5 
built 1 5 
bulged 1 5 
bulkiest 1 5 
bull 1 5 
bunch 1 5 
bunk 1 5 
bunks 1 5 
burger 1 5 
burgers 1 5 
buried 1 5 
burly 1 5 
burn 1 5 
burned 1 5 
burning 1 5 
burnt 1 5 
burst 1 5 
bus 1 5 
bushels 1 5 
business 1 5 
bust 1 5 
busted 1 5 
busy 1 5 
but 1 5 
butt 1 5 
butted 1 5 
butterscotch 1 5 
buttery 1 5 
button 1 5 
buy 1 5 
buys 1 5 
buzzing 1 5 
by 1 5 
bye 1 5 
c 1 5 
cabin 1 5 
cabinmates 1 5 
cabins 1 5 
cackled 1 5 
caduceus 1 5 
cafeteria 1 5 
caked 1 5 
calf 1 5 
california 1 5 
call 1 5 
called 1 5 
calling 1 5 
calls 1 5 
calm 1 5 
camaro 1 5 
came 1 5 
camera 1 5 
cameras 1 5 
camo 1 5 
camouflage 1 5 
camp 1 5 
camped 1 5 
camper 1 5 
campers 1 5 
campfire 1 5 
camps 1 5 
can 1 5 
candy 1 5 
canine 1 5 
cannot 1 5 
canoeing 1 5 
canoes 1 5 
cans 1 5 
cant 1 5 
canteen 1 5 
cantered 1 5 
cap 1 5 
capital 1 5 
capped 1 5 
caption 1 5 
capture 1 5 
captures 1 5 
car 1 5 
caramel 1 5 
caravan 1 5 
card 1 5 
cards 1 5 
care 1 5 
cared 1 5 
careened 1 5 
career 1 5 
careers 1 5 
careful 1 5 
carefully 1 5 
caress 1 5 
carnage 1 5 
carpet 1 5 
carpeting 1 5 
carpoolers 1 5 
carried 1 5 
carries 1 5 
carry 1 5 
carrying 1 5 
cars 1 5 
carved 1 5 
cascade 1 5 
case 1 5 
cash 1 5 
casual 1 5 
catch 1 5 
catfish 1 5 
caucasian 1 5 
caught 1 5 
cause 1 5 
caused 1 5 
causing 1 5 
cautious 1 5 
cautiously 1 5 
cavern 1 5 
celebration 1 5 
celebrity 1 5 
celestial 1 5 
cell 1 5 
cement 1 5 
centaur 1 5 
centaurs 1 5 
center 1 5 
central 1 5 
cents 1 5 
centuries 1 5 
century 1 5 
ceremony 1 5 
certain 1 5 
certainly 1 5 
cetera 1 5 
chair 1 5 
challenge 1 5 
challenges 1 5 
chance 1 5 
chances 1 5 
change 1 5 
changed 1 5 
changing 1 5 
channel 1 5 
chaos 1 5 
chaperoning 1 5 
charged 1 5 
chariot 1 5 
chase 1 5 
chasing 1 5 
chasm 1 5 
chastised 1 5 
chauffeurs 1 5 
cheap 1 5 
check 1 5 
checked 1 5 
checking 1 5 
cheek 1 5 
cheeks 1 5 
cheered 1 5 
cheering 1 5 
cheers 1 5 
cheese 1 5 
cheeseburger 1 5 
cheeseburgers 1 5 
cherish 1 5 
cherry 1 5 
cherub 1 5 
cherubs 1 5 
chest 1 5 
chewed 1 5 
chewing 1 5 
chihuahua 1 5 
child 1 5 
children 1 5 
chill 1 5 
chills 1 5 
chimera 1 5 
chimeras 1 5 
chip 1 5 
chips 1 5 
chiron 1 5 
