3
Input Files/1.txt
Input Files/10.txt
Input Files/2.txt
0 5000
a 1 1 
abacab 1 1 
abandoned 1 1 
abboud 1 1 
abdominal 1 1 
abdominals 1 1 
abetone 1 1 
able 1 1 
ably 1 1 
abortions 1 1 
about 1 1 
above 1 1 
abruptly 1 1 
absolut 1 1 
absolutely 1 1 
acacia 1 1 
accent 1 1 
accept 1 1 
acceptable 1 1 
accepting 1 1 
accidentally 1 1 
accompanies 1 1 
accompanying 1 1 
accophase 1 1 
accord 1 1 
according 1 1 
account 1 1 
accurate 1 1 
accusatory 1 1 
aches 1 1 
aching 1 1 
acid 1 1 
acknowledge 1 1 
acoustics 1 1 
acquaintance 1 1 
across 1 1 
act 1 1 
acting 1 1 
activity 1 1 
actor 1 1 
actors 1 1 
actress 1 1 
acts 1 1 
actual 1 1 
actually 1 1 
acutely 1 1 
adamantly 1 1 
add 1 1 
addict 1 1 
addiction 1 1 
adding 1 1 
addition 1 1 
address 1 1 
addresses 1 1 
adds 1 1 
adidas 1 1 
adjusting 1 1 
adjustments 1 1 
admire 1 1 
admiring 1 1 
admiringly 1 1 
admit 1 1 
admits 1 1 
adopted 1 1 
adore 1 1 
adored 1 1 
adrenaline 1 1 
adulthood 1 1 
adults 1 1 
advantage 1 1 
advertising 1 1 
advice 1 1 
advil 1 1 
aerobic 1 1 
aerobicized 1 1 
aerobics 1 1 
affected 1 1 
afraid 1 1 
after 1 1 
afternoon 1 1 
afterthought 1 1 
afterwards 1 1 
again 1 1 
against 1 1 
agate 1 1 
age 1 1 
aged 1 1 
agency 1 1 
agnes 1 1 
ago 1 1 
agostino 1 1 
agree 1 1 
agreement 1 1 
ah 1 1 
ahead 1 1 
aids 1 1 
ailes 1 1 
aimlessly 1 1 
air 1 1 
aisle 1 1 
aiwa 1 1 
ak 1 1 
akker 1 1 
al 1 1 
alan 1 1 
alarmed 1 1 
album 1 1 
albums 1 1 
alcohol 1 1 
alex 1 1 
alexander 1 1 
alexandra 1 1 
alien 1 1 
alienation 1 1 
alive 1 1 
all 1 1 
allen 1 1 
alley 1 1 
alleyway 1 1 
allow 1 1 
allowed 1 1 
almost 1 1 
aloe 1 1 
alone 1 1 
along 1 1 
aloud 1 1 
already 1 1 
also 1 1 
alternate 1 1 
alternative 1 1 
altitude 1 1 
aluminum 1 1 
always 1 1 
am 1 1 
amazing 1 1 
ambiguous 1 1 
ambulance 1 1 
american 1 1 
amex 1 1 
amsterdam 1 1 
amuse 1 1 
amused 1 1 
an 1 1 
and 1 1 
anderson 1 1 
andover 1 1 
andra 1 1 
andrew 1 1 
androgynous 1 1 
angeles 1 1 
angle 1 1 
angry 1 1 
animal 1 1 
animals 1 1 
ankle 1 1 
anne 1 1 
annie 1 1 
announce 1 1 
announces 1 1 
announcing 1 1 
annoyed 1 1 
annual 1 1 
annually 1 1 
another 1 1 
answer 1 1 
answering 1 1 
answers 1 1 
antaeus 1 1 
anthony 1 1 
anticipating 1 1 
anticlimactic 1 1 
antique 1 1 
anxiety 1 1 
any 1 1 
anymore 1 1 
anyone 1 1 
anything 1 1 
anyway 1 1 
anywhere 1 1 
apart 1 1 
apartment 1 1 
apiece 1 1 
apocalyptic 1 1 
apologetic 1 1 
apologies 1 1 
apologize 1 1 
apologized 1 1 
apologizing 1 1 
appalled 1 1 
appalls 1 1 
apparent 1 1 
appealing 1 1 
appear 1 1 
appearance 1 1 
appears 1 1 
appease 1 1 
appetizer 1 1 
appetizers 1 1 
applauding 1 1 
apple 1 1 
applying 1 1 
appointment 1 1 
appreciate 1 1 
apprehensive 1 1 
apprehensively 1 1 
approach 1 1 
