1
Input Files/2.txt
0 5000
a 1 0 
aaron 1 0 
aback 1 0 
abandon 1 0 
abandoned 1 0 
abbreviated 1 0 
abiding 1 0 
abilities 1 0 
ability 1 0 
able 1 0 
aboard 1 0 
about 1 0 
above 1 0 
abruptly 1 0 
abs 1 0 
absolutely 1 0 
absolve 1 0 
abundance 1 0 
abuse 1 0 
abused 1 0 
abuser 1 0 
abusers 1 0 
abusive 1 0 
academy 1 0 
accent 1 0 
accents 1 0 
accept 1 0 
acceptance 1 0 
accepted 1 0 
accepting 1 0 
accident 1 0 
acclimated 1 0 
accompanied 1 0 
accomplish 1 0 
according 1 0 
account 1 0 
accounting 1 0 
accurately 1 0 
accused 1 0 
achieve 1 0 
achieved 1 0 
achievement 1 0 
achievers 1 0 
achieving 1 0 
aching 1 0 
acknowledge 1 0 
acknowledged 1 0 
across 1 0 
act 1 0 
acted 1 0 
acting 1 0 
action 1 0 
actions 1 0 
active 1 0 
activism 1 0 
activist 1 0 
actor 1 0 
actors 1 0 
actress 1 0 
actual 1 0 
actually 1 0 
ad 1 0 
adaptability 1 0 
adapted 1 0 
addicted 1 0 
addition 1 0 
address 1 0 
addressing 1 0 
adept 1 0 
adjust 1 0 
adjusting 1 0 
adjustment 1 0 
adjustments 1 0 
administer 1 0 
administered 1 0 
admire 1 0 
admired 1 0 
admit 1 0 
adolescence 1 0 
adopted 1 0 
adopting 1 0 
adrenaline 1 0 
adult 1 0 
adulthood 1 0 
adults 1 0 
advance 1 0 
advanced 1 0 
advantage 1 0 
adventure 1 0 
advice 1 0 
advise 1 0 
advocate 1 0 
afar 1 0 
affected 1 0 
affects 1 0 
afford 1 0 
afraid 1 0 
africa 1 0 
after 1 0 
afterward 1 0 
again 1 0 
against 1 0 
age 1 0 
agendas 1 0 
agent 1 0 
agents 1 0 
agethe 1 0 
aggressively 1 0 
ago 1 0 
agoura 1 0 
agree 1 0 
agreed 1 0 
ahead 1 0 
aid 1 0 
aide 1 0 
aids 1 0 
aimed 1 0 
air 1 0 
airplane 1 0 
airport 1 0 
airports 1 0 
aisle 1 0 
alarm 1 0 
alarms 1 0 
alaska 1 0 
albert 1 0 
alcohol 1 0 
alert 1 0 
alienates 1 0 
aliens 1 0 
aligned 1 0 
alive 1 0 
all 1 0 
alleged 1 0 
allegiance 1 0 
allergic 1 0 
allotted 1 0 
allow 1 0 
allowed 1 0 
allowing 1 0 
allows 1 0 
almost 1 0 
alone 1 0 
along 1 0 
alongside 1 0 
alps 1 0 
already 1 0 
also 1 0 
alteration 1 0 
alterations 1 0 
altered 1 0 
alternate 1 0 
alternative 1 0 
alternatives 1 0 
although 1 0 
altitude 1 0 
altogether 1 0 
always 1 0 
alwaysappear 1 0 
am 1 0 
amazed 1 0 
amazement 1 0 
amazing 1 0 
america 1 0 
american 1 0 
americans 1 0 
amid 1 0 
amok 1 0 
among 1 0 
amusing 1 0 
an 1 0 
anatomy 1 0 
and 1 0 
anda 1 0 
anew 1 0 
angeles 1 0 
anger 1 0 
angle 1 0 
angry 1 0 
anguish 1 0 
announced 1 0 
announcement 1 0 
anomalies 1 0 
another 1 0 
answer 1 0 
answered 1 0 
answers 1 0 
antagonizes 1 0 
antennae 1 0 
anti 1 0 
anticipated 1 0 
anxiety 1 0 
any 1 0 
anybody 1 0 
anymore 1 0 
anyone 1 0 
anything 1 0 
anywhere 1 0 
apart 1 0 
apologize 1 0 
apology 1 0 
apostolic 1 0 
apparently 1 0 
appear 1 0 
appearance 1 0 
appeared 1 0 
appearing 1 0 
appearsometimes 1 0 
appendage 1 0 
applications 1 0 
applied 1 0 
appointment 1 0 
appreciate 1 0 
appreciated 1 0 
appreciation 1 0 
appreciative 1 0 
approach 1 0 
approached 1 0 
approaches 1 0 
appropriately 1 0 
approval 1 0 
arabian 1 0 
arcades 1 0 
are 1 0 
area 1 0 
areas 1 0 
aren 1 0 
arena 1 0 
arenas 1 0 
argue 1 0 
arises 1 0 
arm 1 0 
armless 1 0 
armrest 1 0 
arms 1 0 
arnold 1 0 
around 1 0 
arrived 1 0 
arse 1 0 
art 1 0 
artful 1 0 
artists 1 0 
as 1 0 
ascension 1 0 
ascent 1 0 
aside 1 0 
ask 1 0 
asked 1 0 
asking 1 0 
asks 1 0 
aspect 1 0 
aspects 1 0 
aspire 1 0 
aspiring 1 0 
assess 1 0 
assessing 1 0 
assessment 1 0 
assessments 1 0 
assist 1 0 
assistance 1 0 
assistant 1 0 
assume 1 0 
assured 1 0 
astonishment 1 0 
at 1 0 
athlete 1 0 
athletes 1 0 
athletic 1 0 
attack 1 0 
attacked 1 0 
attacking 1 0 
attain 1 0 
attempt 1 0 
attempted 1 0 
attempts 1 0 
attend 1 0 
attendants 1 0 
attended 1 0 
attending 1 0 
attention 1 0 
attentively 1 0 
attitude 1 0 
attitudes 1 0 
attorney 1 0 
attract 1 0 
attracted 1 0 
attracting 1 0 
attractive 1 0 
attracts 1 0 
attributes 1 0 
audience 1 0 
audiences 1 0 
australia 1 0 
australian 1 0 
author 1 0 
auto 1 0 
automatic 1 0 
automotive 1 0 
available 1 0 
average 1 0 
avoid 1 0 
avoided 1 0 
awaken 1 0 
awakened 1 0 
award 1 0 
awards 1 0 
aware 1 0 
away 1 0 
awhile 1 0 
ax 1 0 
b 1 0 
baby 1 0 
back 1 0 
backed 1 0 
backpedal 1 0 
backseat 1 0 
backup 1 0 
backward 1 0 
backyard 1 0 
bacon 1 0 
bacteria 1 0 
bad 1 0 
badly 1 0 
baffled 1 0 
bag 1 0 
baggage 1 0 
bags 1 0 
bait 1 0 
baited 1 0 
bakery 1 0 
balance 1 0 
ball 1 0 
bam 1 0 
band 1 0 
bands 1 0 
banged 1 0 
banging 1 0 
bangladesh 1 0 
bank 1 0 
bankruptcy 1 0 
banshee 1 0 
barack 1 0 
barker 1 0 
bars 1 0 
base 1 0 
baseball 1 0 
based 1 0 
basic 1 0 
basketball 1 0 
basking 1 0 
bass 1 0 
bathing 1 0 
bathroom 1 0 
batta 1 0 
batteries 1 0 
battling 1 0 
bawled 1 0 
bawling 1 0 
be 1 0 
beach 1 0 
beaches 1 0 
bear 1 0 
beard 1 0 
beasts 1 0 
beat 1 0 
beaten 1 0 
beautiful 1 0 
beauty 1 0 
became 1 0 
because 1 0 
become 1 0 
becomes 1 0 
becoming 1 0 
bed 1 0 
bedroom 1 0 
beds 1 0 
been 1 0 
beethoven 1 0 
before 1 0 
beg 1 0 
began 1 0 
