6
Input Files/1.txt
Input Files/10.txt
Input Files/2.txt
Input Files/3.txt
Input Files/4.txt
Input Files/5.txt
0 5000
a 1 3 
aardvark 1 3 
abandon 1 3 
abandoned 1 3 
able 1 3 
about 1 3 
above 1 3 
abraham 1 3 
absorb 1 3 
accelerator 1 3 
accent 1 3 
accept 1 3 
accepted 1 3 
accepting 1 3 
accommodate 1 3 
account 1 3 
accounts 1 3 
accurately 1 3 
accusations 1 3 
aced 1 3 
achievement 1 3 
ack 1 3 
acknowledge 1 3 
acknowledging 1 3 
acquire 1 3 
across 1 3 
acrylics 1 3 
act 1 3 
acted 1 3 
acting 1 3 
action 1 3 
actual 1 3 
actually 1 3 
ad 1 3 
adapt 1 3 
added 1 3 
addict 1 3 
adhesive 1 3 
admirable 1 3 
admire 1 3 
adobe 1 3 
adults 1 3 
advance 1 3 
advanced 1 3 
advantages 1 3 
adventure 1 3 
adversaries 1 3 
advertisements 1 3 
advertising 1 3 
affairs 1 3 
afford 1 3 
afraid 1 3 
africa 1 3 
after 1 3 
afterburner 1 3 
afternoon 1 3 
afternoons 1 3 
afterward 1 3 
again 1 3 
against 1 3 
age 1 3 
aged 1 3 
ages 1 3 
agitator 1 3 
ago 1 3 
agree 1 3 
agreed 1 3 
ahead 1 3 
aid 1 3 
aim 1 3 
aimed 1 3 
aint 1 3 
air 1 3 
airwaves 1 3 
aisles 1 3 
alamo 1 3 
alarm 1 3 
albums 1 3 
alcohol 1 3 
alcoholic 1 3 
alcoholics 1 3 
alexander 1 3 
alike 1 3 
all 1 3 
alley 1 3 
allies 1 3 
alligator 1 3 
alligators 1 3 
allow 1 3 
allowances 1 3 
allowed 1 3 
allowing 1 3 
almond 1 3 
almost 1 3 
alone 1 3 
along 1 3 
alongside 1 3 
aloud 1 3 
already 1 3 
also 1 3 
although 1 3 
altogether 1 3 
always 1 3 
am 1 3 
amazing 1 3 
amber 1 3 
america 1 3 
americans 1 3 
among 1 3 
amount 1 3 
an 1 3 
and 1 3 
angelic 1 3 
anger 1 3 
angle 1 3 
angles 1 3 
angry 1 3 
animal 1 3 
animalfastest 1 3 
animals 1 3 
ankles 1 3 
announce 1 3 
announced 1 3 
announcing 1 3 
annoyed 1 3 
another 1 3 
anotherto 1 3 
answer 1 3 
answerable 1 3 
answered 1 3 
answering 1 3 
answers 1 3 
answersjust 1 3 
antique 1 3 
antiques 1 3 
ants 1 3 
anxious 1 3 
any 1 3 
anymore 1 3 
anyone 1 3 
anyones 1 3 
anything 1 3 
anyway 1 3 
apache 1 3 
apart 1 3 
apartment 1 3 
apartments 1 3 
apologetically 1 3 
apologized 1 3 
apology 1 3 
appalachian 1 3 
appeal 1 3 
appearance 1 3 
appeared 1 3 
appearing 1 3 
appetite 1 3 
appleand 1 3 
apples 1 3 
appliance 1 3 
appliances 1 3 
applied 1 3 
apply 1 3 
appreciated 1 3 
approached 1 3 
appropriate 1 3 
approval 1 3 
approve 1 3 
aprons 1 3 
arched 1 3 
archery 1 3 
archie 1 3 
are 1 3 
area 1 3 
areas 1 3 
arent 1 3 
argue 1 3 
argued 1 3 
arguing 1 3 
argument 1 3 
arguments 1 3 
arizona 1 3 
arm 1 3 
armed 1 3 
armful 1 3 
armholes 1 3 
armies 1 3 
armoire 1 3 
armory 1 3 
armpits 1 3 
arms 1 3 
army 1 3 
around 1 3 
arrange 1 3 
arranged 1 3 
arrested 1 3 
arrived 1 3 
arriving 1 3 
arrow 1 3 
arrows 1 3 
art 1 3 
artist 1 3 
artistic 1 3 
artists 1 3 
as 1 3 
ashamed 1 3 
ashes 1 3 
ashtray 1 3 
asidehe 1 3 
ask 1 3 
asked 1 3 
asking 1 3 
asleep 1 3 
asphalt 1 3 
ass 1 3 
assault 1 3 
assed 1 3 
assigned 1 3 
assignment 1 3 
assumed 1 3 
assuming 1 3 
assured 1 3 
astonishing 1 3 
astonishment 1 3 
at 1 3 
ate 1 3 
atheist 1 3 
athletic 1 3 
atoms 1 3 
atop 1 3 
attached 1 3 
attend 1 3 
attended 1 3 
attle 1 3 
attracted 1 3 
attractive 1 3 
audacious 1 3 
audience 1 3 
aunts 1 3 
auto 1 3 
automatically 1 3 
avenue 1 3 
avoid 1 3 
aw 1 3 
awakened 1 3 
away 1 3 
awe 1 3 
awful 1 3 
awfully 1 3 
awhile 1 3 
ax 1 3 
b 1 3 
babies 1 3 
baby 1 3 
back 1 3 
backed 1 3 
backhand 1 3 
backs 1 3 
backups 1 3 
backward 1 3 
backyard 1 3 
bacteria 1 3 
bad 1 3 
badgered 1 3 
badly 1 3 
bag 1 3 
baggy 1 3 
bags 1 3 
bailey 1 3 
baking 1 3 
bald 1 3 
balding 1 3 
balls 1 3 
banana 1 3 
bananas 1 3 
band 1 3 
bands 1 3 
banged 1 3 
banished 1 3 
banishing 1 3 
bank 1 3 
banks 1 3 
baptist 1 3 
bar 1 3 
barely 1 3 
bargain 1 3 
barite 1 3 
barked 1 3 
barking 1 3 
barons 1 3 
barrel 1 3 
bars 1 3 
baseball 1 3 
basement 1 3 
baskets 1 3 
bastard 1 3 
bastards 1 3 
bat 1 3 
batch 1 3 
bath 1 3 
bathing 1 3 
bathroom 1 3 
bathrooms 1 3 
baths 1 3 
battered 1 3 
battle 1 3 
battles 1 3 
bay 1 3 
bb 1 3 
bbs 1 3 
be 1 3 
beaded 1 3 
beans 1 3 
bear 1 3 
beard 1 3 
bears 1 3 
beast 1 3 
beat 1 3 
beaten 1 3 
beating 1 3 
beatings 1 3 
beatty 1 3 
beaumont 1 3 
beautiful 1 3 
beauty 1 3 
became 1 3 
because 1 3 
beckoned 1 3 
become 1 3 
becoming 1 3 
bed 1 3 
bedroom 1 3 
bedrooms 1 3 
beds 1 3 
bedtime 1 3 
been 1 3 
beer 1 3 
beers 1 3 
beeswax 1 3 
beetle 1 3 
before 1 3 
befriend 1 3 
beg 1 3 
began 1 3 
beggars 1 3 
begged 1 3 
begin 1 3 
beginning 1 3 
begun 1 3 
behaved 1 3 
behavior 1 3 
behind 1 3 
being 1 3 
believe 1 3 
believed 1 3 
believestarvation 1 3 
believing 1 3 
bell 1 3 
bellyaching 1 3 
belonged 1 3 
below 1 3 
belt 1 3 
belting 1 3 
belts 1 3 
bench 1 3 
benches 1 3 
bend 1 3 
bending 1 3 
beneath 1 3 
benighted 1 3 
bertha 1 3 
beside 1 3 
besides 1 3 
best 1 3 
bet 1 3 
better 1 3 
between 1 3 
bewildered 1 3 
beyond 1 3 
bicycles 1 3 
bicyclesa 1 3 
bicycleswe 1 3 
biddy 1 3 
big 1 3 
bigger 1 3 
biggest 1 3 
bike 1 3 
bikes 1 3 
bill 1 3 
billboard 1 3 
billboards 1 3 
billowing 1 3 
bills 1 3 
billy 1 3 
billys 1 3 
binary 1 3 
binder 1 3 
binders 1 3 
bird 1 3 
birds 1 3 
birth 1 3 
birthday 1 3 
birthdays 1 3 
biscuits 1 3 
bit 1 3 
bitch 1 3 
bite 1 3 
biting 1 3 
bits 1 3 
bitten 1 3 
bitter 1 3 
black 1 3 
blackballed 1 3 
blades 1 3 
blame 1 3 
blank 1 3 
blanket 1 3 
blankets 1 3 
blankly 1 3 
bleached 1 3 
bled 1 3 
bledthat 1 3 
blending 1 3 
blessing 1 3 
blessings 1 3 
blew 1 3 
blink 1 3 
blinked 1 3 
blinking 1 3 
block 1 3 
blocks 1 3 
blond 1 3 
blonde 1 3 
blood 1 3 
blooded 1 3 
bloody 1 3 
blooming 1 3 
blotchy 1 3 
blouses 1 3 
blow 1 3 
blowing 1 3 
blowsy 1 3 
blue 1 3 
bluefield 1 3 
blueprints 1 3 
blur 1 3 
board 1 3 
boasted 1 3 
bobbed 1 3 
bobby 1 3 
bodies 1 3 
body 1 3 
bogeymen 1 3 
boiled 1 3 
bologna 1 3 
bolted 1 3 
bombs 1 3 
bone 1 3 
bones 1 3 
book 1 3 
books 1 3 
bookslittle 1 3 
booming 1 3 
boosts 1 3 
boot 1 3 
boots 1 3 
booze 1 3 
border 1 3 
born 1 3 
borrow 1 3 
borrowed 1 3 
both 1 3 
bother 1 3 
bothered 1 3 
bottle 1 3 
bottles 1 3 
bottom 1 3 
bottoms 1 3 
bought 1 3 
bouncing 1 3 
boundary 1 3 
bounded 1 3 
bow 1 3 
bowels 1 3 
bowie 1 3 
bowl 1 3 
bowls 1 3 
box 1 3 
boxcars 1 3 
boxes 1 3 
boxing 1 3 
boy 1 3 
boyfriend 1 3 
boyfriends 1 3 
boys 1 3 
bra 1 3 
bracelets 1 3 
brackets 1 3 
brains 1 3 
brakes 1 3 
branches 1 3 
brand 1 3 
brass 1 3 
brassieres 1 3 
brawls 1 3 
bread 1 3 
break 1 3 
breakfast 1 3 
breaking 1 3 
breakthrough 1 3 
breast 1 3 
breasts 1 3 
breath 1 3 
breathe 1 3 
breathed 1 3 
breathing 1 3 
breeches 1 3 
brian 1 3 
brians 1 3 
brick 1 3 
bridge 1 3 
brief 1 3 
bright 1 3 
brightest 1 3 
brightly 1 3 
brilliant 1 3 
bring 1 3 
bringing 1 3 
brings 1 3 
brink 1 3 
bristly 1 3 
britches 1 3 
broad 1 3 
broadcast 1 3 
broaden 1 3 
broadly 1 3 
broke 1 3 
broken 1 3 
broom 1 3 
brother 1 3 
brothers 1 3 
brought 1 3 
brown 1 3 
bruised 1 3 
brush 1 3 
brushes 1 3 
bubbling 1 3 
buck 1 3 
bucket 1 3 
bucking 1 3 
buckshot 1 3 
bud 1 3 
budget 1 3 
budgeting 1 3 
budweiser 1 3 
bugged 1 3 
buick 1 3 
build 1 3 
building 1 3 
buildings 1 3 
built 1 3 
bulb 1 3 
bulge 1 3 
bulging 1 3 
bulletproof 1 3 
bully 1 3 
bullying 1 3 
bumpers 1 3 
bumps 1 3 
bunch 1 3 
bunched 1 3 
bunk 1 3 
burglars 1 3 
buried 1 3 
burn 1 3 
burned 1 3 
burning 1 3 
burst 1 3 
bus 1 3 
buses 1 3 
bushes 1 3 
business 1 3 
busted 1 3 
buster 1 3 
busy 1 3 
but 1 3 
butcher 1 3 
butler 1 3 
butt 1 3 
butter 1 3 
